id,sample_type,latitude,longitude,date,state,district,slide_name,material_involved,movement_type,slope,elevation_m,clay_percent,rain_day_minus_3_mm,rain_day_minus_2_mm,rain_day_minus_1_mm,rain_event_day_mm,target
ASM/HLKD/83D10/2016/59,real_landslide,24.511306,92.693028,2016-05-18,Assam,Hailakandi,Lalcherra Slide (Rabinala),Debris,Slide,4.76,39.0,28.6,8.1,5.5,23.0,28.0,1
ASM/HLKD/83D10/2016/59_neg1,real_non_landslide,24.511306,92.693028,2015-11-20,Assam,Hailakandi,Lalcherra Slide (Rabinala),Debris,Slide,4.76,39.0,28.6,0.0,0.0,0.0,0.0,0
ASM/HLKD/83D10/2016/59_neg2,real_non_landslide,24.511306,92.693028,2016-11-14,Assam,Hailakandi,Lalcherra Slide (Rabinala),Debris,Slide,4.76,39.0,28.6,2.4,1.1,0.0,0.0,0
ASM/CCR/83H2/2016/66,real_landslide,24.645417,93.005361,2016-08-31,Assam,Cachar,Khasiapunji slide,Debris,Slide,0.0,359.0,29.5,12.0,4.6,4.9,8.7,1
ASM/CCR/83H2/2016/66_neg1,real_non_landslide,24.645417,93.005361,2016-03-04,Assam,Cachar,Khasiapunji slide,Debris,Slide,0.0,359.0,29.5,0.1,0.0,0.0,0.2,0
ASM/CCR/83H2/2016/66_neg2,real_non_landslide,24.645417,93.005361,2017-02-27,Assam,Cachar,Khasiapunji slide,Debris,Slide,0.0,359.0,29.5,4.4,0.0,0.0,0.0,0
ASM/HLKD/83D10/2016/58,real_landslide,24.478972,92.682861,2016-05-17,Assam,Hailakandi,Terracherra Slide,Debris,Slide,9.46,56.0,27.2,12.4,8.1,5.5,23.0,1
ASM/HLKD/83D10/2016/58_neg1,real_non_landslide,24.478972,92.682861,2015-11-19,Assam,Hailakandi,Terracherra Slide,Debris,Slide,9.46,56.0,27.2,0.0,0.0,0.0,0.0,0
ASM/HLKD/83D10/2016/58_neg2,real_non_landslide,24.478972,92.682861,2016-11-13,Assam,Hailakandi,Terracherra Slide,Debris,Slide,9.46,56.0,27.2,1.9,2.4,1.1,0.0,0
AS/CAC/83D10/2009-10/AS-1,real_landslide,24.57025,92.685,2010-04-02,Assam,Cachar,Palgana slide,Debris,Slide,17.93,43.0,27.9,90.2,161.6,29.8,8.6,1
AS/CAC/83D10/2009-10/AS-1_neg1,real_non_landslide,24.57025,92.685,2009-10-04,Assam,Cachar,Palgana slide,Debris,Slide,17.93,43.0,27.9,0.2,1.7,31.1,13.9,0
AS/CAC/83D10/2009-10/AS-1_neg2,real_non_landslide,24.57025,92.685,2010-09-29,Assam,Cachar,Palgana slide,Debris,Slide,17.93,43.0,27.9,10.2,4.7,6.4,0.4,0
ASM/HLKD/83D10/2016/60,real_landslide,24.515944,92.540889,2016-05-18,Assam,Hailakandi,Ramchandi (Koyabasti),Earth,Slide,10.56,41.0,27.1,12.5,8.0,30.7,31.7,1
ASM/HLKD/83D10/2016/60_neg1,real_non_landslide,24.515944,92.540889,2015-11-20,Assam,Hailakandi,Ramchandi (Koyabasti),Earth,Slide,10.56,41.0,27.1,0.0,0.0,0.0,0.0,0
ASM/HLKD/83D10/2016/60_neg2,real_non_landslide,24.515944,92.540889,2016-11-14,Assam,Hailakandi,Ramchandi (Koyabasti),Earth,Slide,10.56,41.0,27.1,1.2,0.7,0.0,0.0,0
ASM/CHR/83D14/2020/0002,real_landslide,24.72192,92.90381,2020-06-05,Assam,Cachar,Govindnagar Slide,Debris,Slide,1.91,35.0,28.8,11.6,16.8,15.0,3.5,1
ASM/CHR/83D14/2020/0002_neg1,real_non_landslide,24.72192,92.90381,2019-12-08,Assam,Cachar,Govindnagar Slide,Debris,Slide,1.91,35.0,28.8,0.0,0.0,0.0,0.0,0
ASM/CHR/83D14/2020/0002_neg2,real_non_landslide,24.72192,92.90381,2020-12-02,Assam,Cachar,Govindnagar Slide,Debris,Slide,1.91,35.0,28.8,0.0,0.0,0.0,0.0,0
ASM/HLK/83D10/2020/004,real_landslide,24.70656,92.65008,2020-06-02,Assam,Hailakandi,Mohanpur Grant Slide 2,Debris,Slide,3.44,47.0,28.5,27.1,6.0,13.4,15.8,1
ASM/HLK/83D10/2020/004_neg1,real_non_landslide,24.70656,92.65008,2019-12-05,Assam,Hailakandi,Mohanpur Grant Slide 2,Debris,Slide,3.44,47.0,28.5,0.0,0.0,0.0,0.0,0
ASM/HLK/83D10/2020/004_neg2,real_non_landslide,24.70656,92.65008,2020-11-29,Assam,Hailakandi,Mohanpur Grant Slide 2,Debris,Slide,3.44,47.0,28.5,0.0,0.0,0.0,0.0,0
AS/KAR/83D06/2009-10/AS-2,real_landslide,24.710833,92.481167,2010-06-03,Assam,Karimganj,Rongpur slide,Debris,Slide,3.81,34.0,24.7,19.1,14.4,16.3,5.7,1
AS/KAR/83D06/2009-10/AS-2_neg1,real_non_landslide,24.710833,92.481167,2009-12-05,Assam,Karimganj,Rongpur slide,Debris,Slide,3.81,34.0,24.7,0.0,0.0,0.0,0.0,0
AS/KAR/83D06/2009-10/AS-2_neg2,real_non_landslide,24.710833,92.481167,2010-11-30,Assam,Karimganj,Rongpur slide,Debris,Slide,3.81,34.0,24.7,0.1,0.0,0.0,0.0,0
ASM/KRGJ/83D06/2016/61,real_landslide,24.659389,92.497361,2016-05-18,Assam,Karimganj,Rakhalbasti,Earth,Slide,5.71,24.0,27.6,11.0,7.3,56.7,55.8,1
ASM/KRGJ/83D06/2016/61_neg1,real_non_landslide,24.659389,92.497361,2015-11-20,Assam,Karimganj,Rakhalbasti,Earth,Slide,5.71,24.0,27.6,0.0,0.0,0.0,0.0,0
ASM/KRGJ/83D06/2016/61_neg2,real_non_landslide,24.659389,92.497361,2016-11-14,Assam,Karimganj,Rakhalbasti,Earth,Slide,5.71,24.0,27.6,0.8,0.2,0.0,0.0,0
ASM/HLK/83D10/2020/003,real_landslide,24.70364,92.64681,2020-06-02,Assam,Hailakandi,Mohanpur Grant Slide 1,Debris,Slide,20.14,47.0,28.7,27.1,6.0,13.4,15.8,1
ASM/HLK/83D10/2020/003_neg1,real_non_landslide,24.70364,92.64681,2019-12-05,Assam,Hailakandi,Mohanpur Grant Slide 1,Debris,Slide,20.14,47.0,28.7,0.0,0.0,0.0,0.0,0
ASM/HLK/83D10/2020/003_neg2,real_non_landslide,24.70364,92.64681,2020-11-29,Assam,Hailakandi,Mohanpur Grant Slide 1,Debris,Slide,20.14,47.0,28.7,0.0,0.0,0.0,0.0,0
ASM/HLK/83D09/2020/006,real_landslide,24.79489,92.55506,2020-06-02,Assam,Hailakandi,Chandipur Grant Slide,Debris,Slide,10.56,43.0,29.1,22.5,3.8,14.9,20.5,1
ASM/HLK/83D09/2020/006_neg1,real_non_landslide,24.79489,92.55506,2019-12-05,Assam,Hailakandi,Chandipur Grant Slide,Debris,Slide,10.56,43.0,29.1,0.0,0.0,0.0,0.0,0
ASM/HLK/83D09/2020/006_neg2,real_non_landslide,24.79489,92.55506,2020-11-29,Assam,Hailakandi,Chandipur Grant Slide,Debris,Slide,10.56,43.0,29.1,0.0,0.0,0.0,0.0,0
ASM/HLK/83D10/2020/005,real_landslide,24.73117,92.64739,2020-06-02,Assam,Hailakandi,Mohanpur Grant Slide 3,Debris,Slide,2.86,24.0,28.0,27.1,6.0,13.4,15.8,1
ASM/HLK/83D10/2020/005_neg1,real_non_landslide,24.73117,92.64739,2019-12-05,Assam,Hailakandi,Mohanpur Grant Slide 3,Debris,Slide,2.86,24.0,28.0,0.0,0.0,0.0,0.0,0
ASM/HLK/83D10/2020/005_neg2,real_non_landslide,24.73117,92.64739,2020-11-29,Assam,Hailakandi,Mohanpur Grant Slide 3,Debris,Slide,2.86,24.0,28.0,0.0,0.0,0.0,0.0,0
ASM/KGJ/83D05/2020/0008,real_landslide,24.78002778,92.45372222,2020-06-02,Assam,Karimganj,Karimpur Slide 2,Earth,Slide,7.59,52.0,26.2,16.6,3.0,14.8,21.3,1
ASM/KGJ/83D05/2020/0008_neg1,real_non_landslide,24.78002778,92.45372222,2019-12-05,Assam,Karimganj,Karimpur Slide 2,Earth,Slide,7.59,52.0,26.2,0.0,0.0,0.0,0.0,0
ASM/KGJ/83D05/2020/0008_neg2,real_non_landslide,24.78002778,92.45372222,2020-11-29,Assam,Karimganj,Karimpur Slide 2,Earth,Slide,7.59,52.0,26.2,0.0,0.0,0.0,0.0,0
ASM/CHR/83H01/2020/001,real_landslide,24.92097,93.07306,2020-06-02,Assam,Cachar,Kanakpur Slide,Earth,Slide,14.62,64.0,31.7,25.4,8.7,13.9,47.4,1
ASM/CHR/83H01/2020/001_neg1,real_non_landslide,24.92097,93.07306,2019-12-05,Assam,Cachar,Kanakpur Slide,Earth,Slide,14.62,64.0,31.7,0.0,0.0,0.0,0.0,0
ASM/CHR/83H01/2020/001_neg2,real_non_landslide,24.92097,93.07306,2020-11-29,Assam,Cachar,Kanakpur Slide,Earth,Slide,14.62,64.0,31.7,0.0,0.0,0.0,0.0,0
ASM/KGJ/83D05/2020/007,real_landslide,24.78380556,92.45563889,2020-06-02,Assam,Karimganj,Karimpur Slide 1,Earth,Slide,15.82,17.0,26.8,16.6,3.0,14.8,21.3,1
ASM/KGJ/83D05/2020/007_neg1,real_non_landslide,24.78380556,92.45563889,2019-12-05,Assam,Karimganj,Karimpur Slide 1,Earth,Slide,15.82,17.0,26.8,0.0,0.0,0.0,0.0,0
ASM/KGJ/83D05/2020/007_neg2,real_non_landslide,24.78380556,92.45563889,2020-11-29,Assam,Karimganj,Karimpur Slide 1,Earth,Slide,15.82,17.0,26.8,0.0,0.0,0.0,0.0,0
AS/NC/83C16/2009-10/AS-5,real_landslide,25.124306,92.904278,2010-04-02,Assam,Dima Hasao,Mailongdisa-Harangajao-2 slide,Debris,Slide,34.85,301.0,34.0,74.4,106.0,50.9,11.5,1
AS/NC/83C16/2009-10/AS-5_neg1,real_non_landslide,25.124306,92.904278,2009-10-04,Assam,Dima Hasao,Mailongdisa-Harangajao-2 slide,Debris,Slide,34.85,301.0,34.0,0.0,0.0,3.1,2.2,0
AS/NC/83C16/2009-10/AS-5_neg2,real_non_landslide,25.124306,92.904278,2010-09-29,Assam,Dima Hasao,Mailongdisa-Harangajao-2 slide,Debris,Slide,34.85,301.0,34.0,20.5,13.8,24.5,0.0,0
AS/DH/83G04/2018/003,real_landslide,25.224278,93.222861,2018-06-14,Assam,Dima Hasao,Phiding slide,Debris,Slide,9.46,620.0,35.0,13.5,90.2,136.0,63.8,1
AS/DH/83G04/2018/003_neg1,real_non_landslide,25.224278,93.222861,2017-12-16,Assam,Dima Hasao,Phiding slide,Debris,Slide,9.46,620.0,35.0,0.6,0.0,0.0,0.0,0
AS/DH/83G04/2018/003_neg2,real_non_landslide,25.224278,93.222861,2018-12-11,Assam,Dima Hasao,Phiding slide,Debris,Slide,9.46,620.0,35.0,0.2,0.0,0.0,0.0,0
AS/NC/83C16/2009-10/AS-4,real_landslide,25.121,92.915028,2010-06-20,Assam,Dima Hasao,Mailongdisa-Harangajao slide,Debris,Slide,21.05,319.0,31.8,5.0,6.0,24.6,69.4,1
AS/NC/83C16/2009-10/AS-4_neg1,real_non_landslide,25.121,92.915028,2009-12-22,Assam,Dima Hasao,Mailongdisa-Harangajao slide,Debris,Slide,21.05,319.0,31.8,0.2,0.0,0.0,0.0,0
AS/NC/83C16/2009-10/AS-4_neg2,real_non_landslide,25.121,92.915028,2010-12-17,Assam,Dima Hasao,Mailongdisa-Harangajao slide,Debris,Slide,21.05,319.0,31.8,0.0,0.0,0.0,0.0,0
AS/NC/83C16/2009-10/AS-3,real_landslide,25.124583,92.989111,2010-06-16,Assam,Dima Hasao,Jatinga-Longrangajao slide,Debris,Slide,6.65,545.0,32.9,22.2,25.3,15.1,9.6,1
AS/NC/83C16/2009-10/AS-3_neg1,real_non_landslide,25.124583,92.989111,2009-12-18,Assam,Dima Hasao,Jatinga-Longrangajao slide,Debris,Slide,6.65,545.0,32.9,0.0,0.0,0.0,0.1,0
