latitude,longitude,elevation,slope,clay_percentage,aspect,aspect_sin,aspect_cos,clay_percent,sand_percent,silt_percent,bulk_density,shear_stress_factor
25.0,92.5,27.0,4.64,28.0,275.6,-0.9952,0.0978,25.6,32.2,42.2,1.257,0.0644
25.0,92.505,31.0,1.23,28.0,317.9,-0.6708,0.7416,24.8,31.9,43.3,1.26,0.017
25.0,92.51,43.0,1.27,28.0,103.0,0.9745,-0.2245,25.8,31.4,42.8,1.261,0.0176
25.0,92.515,26.0,1.1,28.0,208.0,-0.4697,-0.8828,26.8,32.5,40.7,1.26,0.0152
25.0,92.52,26.0,0.68,28.0,294.7,-0.9083,0.4184,24.7,34.0,41.3,1.26,0.0094
25.0,92.525,31.0,0.77,28.0,15.6,0.2681,0.9634,24.7,31.0,44.2,1.261,0.0107
25.0,92.53,39.0,1.19,28.0,51.4,0.7814,0.624,26.9,33.8,39.3,1.261,0.0165
25.0,92.535,44.0,2.32,28.0,282.7,-0.9754,0.2206,25.9,31.4,42.6,1.26,0.0321
25.0,92.54,48.0,0.23,28.0,0.0,0.0,1.0,24.4,30.8,44.8,1.262,0.0032
25.0,92.545,48.0,1.88,28.0,235.0,-0.8191,-0.5736,25.7,33.7,40.6,1.26,0.026
25.0,92.55,29.0,0.73,28.0,261.0,-0.9878,-0.156,24.4,33.6,42.0,1.261,0.0101
25.0,92.555,46.0,0.95,28.0,256.2,-0.9711,-0.2386,24.4,33.5,42.0,1.261,0.0131
25.0,92.56,25.0,3.91,28.0,256.6,-0.9726,-0.2325,25.3,31.1,43.6,1.258,0.0542
25.0,92.565,30.0,2.16,28.0,267.0,-0.9986,-0.0526,22.7,31.9,45.4,1.259,0.0299
25.0,92.57,23.0,0.35,28.0,241.1,-0.8752,-0.4838,22.9,33.3,43.7,1.261,0.0048
25.0,92.575,27.0,3.4,28.0,273.8,-0.9978,0.0669,24.3,33.0,42.7,1.258,0.0471
25.0,92.58,27.0,4.11,28.0,268.4,-0.9996,-0.0276,23.8,31.5,44.7,1.258,0.057
25.0,92.585,25.0,1.57,28.0,259.6,-0.9834,-0.1812,25.4,33.1,41.5,1.26,0.0217
25.0,92.59,22.0,4.42,28.0,267.8,-0.9993,-0.0385,23.9,32.1,44.0,1.257,0.0613
25.0,92.595,22.0,1.03,28.0,296.2,-0.8975,0.441,23.3,35.0,41.7,1.26,0.0143
25.0,92.6,30.0,0.89,28.0,292.5,-0.9238,0.383,26.8,34.6,38.7,1.26,0.0123
25.0,92.605,28.0,5.06,28.0,276.4,-0.9937,0.1121,24.7,34.3,41.0,1.257,0.0702
