latitude,longitude,elevation,slope,clay_percentage,aspect,aspect_sin,aspect_cos,clay_percent,sand_percent,silt_percent,bulk_density,shear_stress_factor
24.97,92.78,86.0,3.7,32.3,215.6,-0.5821,-0.8131,32.3,34.1,33.7,1.151,0.0561
24.97,92.79,48.0,2.5,32.2,217.8,-0.6129,-0.7902,32.2,34.1,33.7,1.151,0.0379
24.97,92.8,44.0,3.2,32.2,258.4,-0.9796,-0.2011,32.2,34.0,33.8,1.151,0.0485
24.97,92.81,32.0,7.6,32.2,286.3,-0.9598,0.2807,32.2,34.0,33.8,1.151,0.1149
24.97,92.82,98.0,2.9,32.2,57.0,0.8387,0.5446,32.2,34.0,33.8,1.151,0.044
24.97,92.83,72.0,7.6,32.2,259.8,-0.9842,-0.1771,32.2,33.9,33.9,1.151,0.1149
24.97,92.84,64.0,4.8,32.2,281.0,-0.9816,0.1908,32.2,33.9,33.9,1.152,0.0726
24.97,92.85,95.0,2.5,32.2,243.4,-0.8942,-0.4478,32.2,33.8,34.0,1.152,0.0379
24.97,92.86,54.0,5.1,32.3,230.1,-0.7672,-0.6414,32.3,33.7,34.0,1.153,0.0771
24.98,92.74,98.0,5.8,32.4,166.4,0.2351,-0.972,32.4,34.1,33.5,1.15,0.0879
24.98,92.75,27.0,9.1,32.4,264.0,-0.9945,-0.1045,32.4,34.1,33.5,1.15,0.1375
24.98,92.76,74.0,7.6,32.3,294.1,-0.9128,0.4083,32.3,34.1,33.6,1.15,0.115
24.98,92.77,105.0,11.7,32.3,278.1,-0.99,0.1409,32.3,34.1,33.6,1.15,0.1763
24.98,92.78,116.0,4.6,32.2,250.3,-0.9415,-0.3371,32.2,34.1,33.7,1.15,0.0697
24.98,92.79,66.0,4.3,32.2,254.3,-0.9627,-0.2706,32.2,34.1,33.7,1.15,0.0652
24.98,92.8,87.0,8.5,32.1,288.4,-0.9489,0.3156,32.1,34.1,33.8,1.151,0.1284
24.98,92.81,134.0,8.4,32.1,263.8,-0.9942,-0.108,32.1,34.1,33.8,1.151,0.1269
24.98,92.82,64.0,4.0,32.1,294.4,-0.9107,0.4131,32.1,34.0,33.9,1.151,0.0606
24.98,92.83,176.0,4.7,32.1,303.3,-0.8358,0.549,32.1,34.0,33.9,1.151,0.0712
24.98,92.84,129.0,5.3,32.1,238.3,-0.8508,-0.5255,32.1,33.9,34.0,1.151,0.0803
24.98,92.85,106.0,5.7,32.2,261.6,-0.9893,-0.1461,32.2,33.8,34.0,1.152,0.0862
24.98,92.86,108.0,2.5,32.2,186.8,-0.1184,-0.993,32.2,33.8,34.0,1.152,0.0379
24.98,92.87,45.0,2.5,32.2,231.8,-0.7859,-0.6184,32.2,33.7,34.1,1.153,0.0378
24.98,92.88,78.0,2.5,32.3,61.1,0.8755,0.4833,32.3,33.6,34.1,1.153,0.0378
24.98,92.89,52.0,7.1,32.3,276.4,-0.9938,0.1115,32.3,33.5,34.1,1.154,0.1071
24.98,92.9,98.0,3.6,32.4,354.3,-0.0993,0.9951,32.4,33.5,34.1,1.154,0.0544
24.98,92.91,143.0,7.0,32.5,300.6,-0.8607,0.509,32.5,33.4,34.1,1.155,0.1055
24.99,92.73,95.0,5.1,32.5,104.6,0.9677,-0.2521,32.5,34.1,33.4,1.15,0.0773
24.99,92.74,79.0,2.7,32.4,28.9,0.4833,0.8755,32.4,34.1,33.5,1.15,0.041
24.99,92.75,154.0,8.9,32.4,294.0,-0.9135,0.4067,32.4,34.1,33.5,1.15,0.1345
24.99,92.76,170.0,18.8,32.3,283.5,-0.9724,0.2334,32.3,34.1,33.6,1.15,0.2802
24.99,92.77,268.0,18.1,32.2,274.4,-0.9971,0.0767,32.2,34.2,33.6,1.15,0.2702
24.99,92.78,206.0,14.1,32.2,253.0,-0.9563,-0.2924,32.2,34.2,33.7,1.15,0.2118
24.99,92.79,162.0,14.6,32.1,279.7,-0.9857,0.1685,32.1,34.2,33.7,1.15,0.2192
24.99,92.8,269.0,18.7,32.1,282.4,-0.9767,0.2147,32.1,34.2,33.8,1.15,0.2788
24.99,92.81,266.0,16.1,32.1,260.4,-0.986,-0.1668,32.1,34.1,33.8,1.15,0.2411
24.99,92.82,200.0,10.5,32.1,251.4,-0.9478,-0.319,32.1,34.1,33.9,1.151,0.1583
24.99,92.83,181.0,10.1,32.1,267.5,-0.999,-0.0436,32.1,34.0,33.9,1.151,0.1524
24.99,92.84,189.0,6.7,32.1,295.0,-0.9063,0.4226,32.1,33.9,34.0,1.151,0.1014
24.99,92.85,252.0,8.8,32.1,235.4,-0.8231,-0.5678,32.1,33.9,34.0,1.151,0.1329
24.99,92.86,62.0,7.7,32.1,195.8,-0.2723,-0.9622,32.1,33.8,34.1,1.152,0.1163
24.99,92.87,66.0,2.5,32.2,291.7,-0.9291,0.3697,32.2,33.7,34.1,1.152,0.0379
24.99,92.88,71.0,3.4,32.2,349.6,-0.1805,0.9836,32.2,33.6,34.1,1.153,0.0514
24.99,92.89,150.0,5.7,32.3,283.0,-0.9744,0.225,32.3,33.6,34.2,1.153,0.0861
24.99,92.9,103.0,4.1,32.4,318.6,-0.6613,0.7501,32.4,33.5,34.2,1.154,0.062
24.99,92.91,227.0,16.8,32.5,7.9,0.1374,0.9905,32.5,33.4,34.2,1.155,0.2502
24.99,92.92,532.0,26.1,32.5,65.1,0.907,0.421,32.5,33.3,34.2,1.156,0.3806
24.99,92.93,524.0,14.2,32.6,92.4,0.9991,-0.0419,32.6,33.2,34.2,1.156,0.2122
24.99,92.94,517.0,2.8,32.7,258.5,-0.9799,-0.1994,32.7,33.1,34.2,1.157,0.0422
25.0,92.71,283.0,12.6,32.6,120.8,0.859,-0.512,32.6,34.1,33.3,1.15,0.1897
25.0,92.72,201.0,11.0,32.6,156.3,0.4019,-0.9157,32.6,34.1,33.3,1.15,0.1659
25.0,92.73,27.0,5.6,32.5,172.2,0.1357,-0.9907,32.5,34.1,33.4,1.15,0.0849
25.0,92.74,62.0,9.1,32.4,9.3,0.1616,0.9869,32.4,34.1,33.4,1.15,0.1375
25.0,92.75,253.0,20.9,32.3,11.5,0.1994,0.9799,32.3,34.2,33.5,1.15,0.3102
25.0,92.76,599.0,14.4,32.3,1.4,0.0244,0.9997,32.3,34.2,33.6,1.15,0.2163
25.0,92.77,621.0,4.3,32.2,159.8,0.3453,-0.9385,32.2,34.2,33.6,1.15,0.0652
25.0,92.78,498.0,6.8,32.1,210.4,-0.506,-0.8625,32.1,34.2,33.7,1.15,0.103
25.0,92.79,474.0,11.6,32.1,292.3,-0.9252,0.3795,32.1,34.2,33.7,1.15,0.1749
25.0,92.8,610.0,8.8,32.0,300.4,-0.8625,0.506,32.0,34.2,33.8,1.15,0.133
25.0,92.81,586.0,18.6,32.0,236.5,-0.8339,-0.5519,32.0,34.2,33.8,1.15,0.2774
25.0,92.82,343.0,18.6,32.0,254.7,-0.9646,-0.2639,32.0,34.1,33.9,1.15,0.2774
25.0,92.83,458.0,19.6,32.0,264.8,-0.9959,-0.0906,32.0,34.1,33.9,1.15,0.2917
25.0,92.84,297.0,10.1,32.0,234.4,-0.8131,-0.5821,32.0,34.0,34.0,1.151,0.1524
25.0,92.85,309.0,6.7,32.0,219.2,-0.632,-0.7749,32.0,33.9,34.1,1.151,0.1014
25.0,92.86,166.0,11.4,32.1,214.6,-0.5678,-0.8231,32.1,33.8,34.1,1.152,0.1716
25.0,92.87,70.0,4.1,32.1,226.7,-0.7278,-0.6858,32.1,33.7,34.2,1.152,0.0621
25.0,92.88,95.0,7.9,32.2,312.8,-0.7337,0.6794,32.2,33.6,34.2,1.153,0.1192
25.0,92.89,205.0,3.7,32.2,326.0,-0.5592,0.829,32.2,33.6,34.2,1.153,0.056
25.0,92.9,173.0,6.7,32.3,220.6,-0.6508,-0.7593,32.3,33.5,34.2,1.154,0.1011
