latitude,longitude,elevation,slope,clay_percentage,aspect,aspect_sin,aspect_cos,clay_percent,sand_percent,silt_percent,bulk_density,shear_stress_factor,isric_fetched
24.97,92.78,86.0,4.8,23.3,0.0,0.0,1.0,23.3,37.0,27.7,1.23,0.0727,True
24.97,92.79,48.0,5.7,22.1,47.9,0.742,0.6704,22.1,36.3,29.1,1.22,0.0863,True
24.97,92.8,44.0,7.5,22.8,132.1,0.742,-0.6704,22.8,38.0,29.4,1.19,0.1134,True
24.97,92.81,32.0,11.4,22.6,90.0,1.0,0.0,22.6,39.0,29.7,1.18,0.1717,True
24.97,92.82,98.0,8.2,21.8,180.0,0.0,-1.0,21.8,36.6,30.2,1.17,0.1239,True
24.97,92.83,72.0,11.6,21.0,90.0,1.0,0.0,21.0,39.2,29.2,1.19,0.1747,True
24.97,92.84,64.0,9.3,22.1,47.9,0.742,0.6704,22.1,39.1,30.7,1.19,0.1403,True
24.97,92.85,95.0,5.1,20.8,0.0,0.0,1.0,20.8,36.5,32.5,1.23,0.0772,True
24.97,92.86,54.0,6.1,22.4,90.0,1.0,0.0,22.4,39.6,29.7,1.2,0.0922,True
24.98,92.74,98.0,8.8,23.6,0.0,0.0,1.0,23.6,38.1,26.5,1.15,0.133,True
24.98,92.75,27.0,14.1,24.2,90.0,1.0,0.0,24.2,34.7,26.8,1.2,0.2118,True
24.98,92.76,74.0,15.9,21.4,132.1,0.742,-0.6704,21.4,34.0,29.3,1.17,0.2382,True
24.98,92.77,105.0,17.9,20.4,90.0,1.0,0.0,20.4,35.4,30.1,1.16,0.2673,True
24.98,92.78,116.0,12.6,22.5,47.9,0.742,0.6704,22.5,36.6,30.4,1.17,0.1897,True
24.98,92.79,66.0,16.6,22.1,132.1,0.742,-0.6704,22.1,36.8,30.8,1.19,0.2484,True
24.98,92.8,87.0,19.8,20.7,90.0,1.0,0.0,20.7,37.5,31.1,1.19,0.2943,True
24.98,92.81,134.0,14.7,20.7,90.0,1.0,0.0,20.7,34.7,30.8,1.14,0.2205,True
24.98,92.82,64.0,16.5,21.4,47.9,0.742,0.6704,21.4,37.2,30.2,1.14,0.2468,True
24.98,92.83,176.0,13.8,21.5,180.0,0.0,-1.0,21.5,38.1,29.1,1.14,0.2072,True
24.98,92.84,129.0,10.2,21.4,132.1,0.742,-0.6704,21.4,32.9,32.0,1.15,0.1539,True
24.98,92.85,106.0,16.1,20.8,90.0,1.0,0.0,20.8,36.6,31.0,1.14,0.2407,True
24.98,92.86,108.0,11.9,20.0,47.9,0.742,0.6704,20.0,35.7,32.1,1.16,0.179,True
24.98,92.87,45.0,7.9,22.5,0.0,0.0,1.0,22.5,40.2,29.2,1.2,0.1192,True
24.98,92.88,78.0,6.0,22.3,132.1,0.742,-0.6704,22.3,39.9,31.2,1.19,0.0907,True
24.98,92.89,52.0,11.0,20.9,90.0,1.0,0.0,20.9,40.0,30.5,1.2,0.1653,True
24.98,92.9,98.0,10.7,23.8,132.1,0.742,-0.6704,23.8,40.0,29.3,1.17,0.1609,True
24.98,92.91,143.0,29.8,22.4,132.1,0.742,-0.6704,22.4,33.8,30.6,1.15,0.4303,True
24.99,92.73,95.0,8.9,23.2,47.9,0.742,0.6704,23.2,40.9,28.1,1.17,0.1345,True
24.99,92.74,79.0,14.3,23.8,132.1,0.742,-0.6704,23.8,38.0,26.8,1.16,0.2148,True
24.99,92.75,154.0,33.2,24.4,132.1,0.742,-0.6704,24.4,36.8,25.9,1.14,0.4761,True
24.99,92.76,170.0,40.4,23.5,90.0,1.0,0.0,23.5,35.3,27.4,1.18,0.5636,True
24.99,92.77,268.0,35.0,23.5,90.0,1.0,0.0,23.5,36.5,28.6,1.18,0.4988,True
24.99,92.78,206.0,31.4,24.5,47.9,0.742,0.6704,24.5,38.3,26.4,1.15,0.4531,True
24.99,92.79,162.0,33.4,21.6,132.1,0.742,-0.6704,21.6,37.8,28.2,1.14,0.4787,True
24.99,92.8,269.0,34.1,22.5,90.0,1.0,0.0,22.5,37.3,28.2,1.14,0.4875,True
