latitude,longitude,elevation,slope,aspect,clay_percent,sand_percent,silt_percent,bulk_density,rain_event_day_mm,rain_3d_sum_mm,rain_7d_sum_mm,target
26.3212,91.0065,48.0,1.7,290.4,23.5,45.0,33.0,1.2,12.5,38.7,171.3,0
25.4993,94.1192,858.1,37.52,86.3,33.2,27.8,39.0,1.2,0.2298460004053322,1.7901549502497924,3.619153201391952,0
26.6528,92.7926,68.0,1.9,14.0,22.5,45.0,33.0,1.2,63.4,104.3,365.1,0
25.1555,93.8474,1711.8,31.73,277.2,36.0,22.0,42.0,1.2,93.7,167.7,206.2,1
26.5413,88.7196,85.0,1.8,186.1,23.0,45.0,33.0,1.2,25.6,70.7,112.8,0
24.75,93.4333,883.7,30.17,267.3,33.4,27.3,39.3,1.2,0.09851277194585323,0.3128831525568301,3.6392700605961332,0
24.7625,93.4341,741.4,31.41,153.7,32.1,30.2,37.7,1.2,12.5,35.6,94.9,1
26.1445,91.7362,55.0,2.1,315.1,22.0,45.0,33.0,1.2,17.3,304.90000000000003,508.4,0
25.9611,91.3681,1180.7,36.93,122.1,37.1,24.0,38.9,1.2,27.2,171.9,417.5,1
26.1665,91.7049,746.7,39.5,45.9,32.2,30.1,37.7,1.2,24.5,47.5,94.6,1
26.0207,89.9744,38.0,1.5,247.3,24.0,45.0,33.0,1.2,9.8,152.2,427.9,0
27.7,92.8,1037.7,44.69,182.8,28.7,35.5,35.8,1.2,152.8,257.3,397.1,1
24.042,92.6724,1075.9,34.11,223.6,31.1,31.8,37.1,1.2,6.8,24.1,78.6,1
25.03561729,94.0144205,1130.4,31.92,261.1,31.5,30.9,37.5,1.2,8.6,24.0,49.6,1
26.944,88.4441,1701.4,50.6,191.3,32.5,29.4,38.1,1.2,4.2,37.5,82.7,1
24.416,94.0984,1064.5,40.29,223.3,31.0,31.9,37.0,1.2,33.3,252.8,415.6,1
26.0207,89.9744,38.0,1.5,278.4,24.0,45.0,33.0,1.2,21.5,73.7,201.3,0
27.5748,91.8644,1453.3,37.29,335.1,30.8,31.2,38.1,1.2,8.4,42.0,249.3,1
25.5772,91.8666,1397.2,42.06,345.2,38.7,20.4,40.9,1.2,0.3229284975604102,1.497624203399619,6.738159906260776,0
26.138,94.25,624.5,40.19,257.0,31.1,32.5,36.4,1.2,0.8737989378551246,1.8396661380411392,7.31442861145216,0
24.7459,93.4251,1786.0,46.56,99.3,36.6,20.8,42.6,1.2,4.7,25.0,99.6,1
26.3333,91.25,1004.2,27.66,92.2,34.5,24.9,40.6,1.2,0.0,63.2,69.7,1
23.4495,92.8112,1790.0,41.54,135.4,36.6,20.8,42.6,1.2,1.2046033770278592,2.430640544884033,3.8966641359004477,0
27.3773,88.559,2357.5,51.99,314.0,35.8,22.0,42.2,1.2,0.5038356215651929,2.82094678998756,0.4959266612275526,0
27.2644,88.1365,2692.1,45.54,141.6,37.5,18.2,44.3,1.2,0.7330248906719403,0.7891286016247441,5.787044296303884,0
26.149,91.7351,505.0,30.04,36.2,30.0,34.9,35.1,1.2,0.09187457565913476,0.34496888498674627,7.02556487414403,0
27.4728,94.912,108.0,1.8,135.2,21.0,45.0,33.0,1.2,0.0,49.0,242.0,0
