sample_id,cluster_group,sample_type,latitude,longitude,slope,elevation,aspect_sin,aspect_cos,clay_percent,sand_percent,silt_percent,bulk_density,rain_day_minus_1_mm,rain_3d_sum_mm,rain_7d_api_mm,pore_pressure_index,target
57_pos,57,real_landslide_event,27.4459,88.6193,41.04,1707.6,0.9934,0.1149,32.5,29.3,38.2,1.2,7.5,40.9,103.54,14.2397,1
57_monsoon_stable,57,normal_monsoon_stable_slope,27.45628932055817,88.60280184389865,41.04,1707.6,0.9934,0.1149,32.5,29.3,38.2,1.2,13.33,29.93,44.41,6.1077,0
57_dry,57,dry_season_steep_slope,27.4459,88.6193,41.04,1707.6,0.9934,0.1149,32.5,29.3,38.2,1.2,1.66,6.59,10.17,1.399,0
57_flat,57,monsoon_flat_floodplain,26.1445,91.7362,1.8,55.0,-0.9709,-0.0333,22.0,48.0,30.0,1.35,7.61,46.16,116.56,0.4031,0
57_permeable,57,permeable_slope,27.451654539259344,88.6040231228216,12.28,644.6,0.9934,0.1149,17.49,52.35,30.16,1.32,5.25,30.67,74.55,1.3782,0
78_pos,78,real_landslide_event,27.3383,88.6069,48.79,2602.9,0.9245,0.3811,37.0,19.2,43.8,1.2,15.8,34.4,63.84,12.424,1
78_monsoon_stable,78,normal_monsoon_stable_slope,27.34255273520548,88.6063846156592,48.79,2602.9,0.9245,0.3811,37.0,19.2,43.8,1.2,20.8,54.7,66.38,12.9167,0
78_dry,78,dry_season_steep_slope,27.3383,88.6069,48.79,2602.9,0.9245,0.3811,37.0,19.2,43.8,1.2,2.41,4.72,9.78,1.9031,0
78_flat,78,monsoon_flat_floodplain,26.7509,92.7926,1.4,48.0,-0.941,0.4014,21.0,52.0,27.0,1.38,18.96,32.97,76.73,0.1877,0
78_permeable,78,permeable_slope,27.349191191834187,88.58113177261495,23.4,642.7,0.9245,0.3811,15.9,67.1,16.99,1.32,11.06,25.8,45.97,1.3163,0
93_pos,93,real_landslide_event,26.7324,88.4089,52.0,1957.0,0.3256,-0.9455,33.8,26.5,39.7,1.2,15.2,44.9,179.61,31.5145,1
