id,sample_type,latitude,longitude,date,slope,clay_percent,rain_day_minus_3_mm,rain_day_minus_2_mm,rain_day_minus_1_mm,rain_event_day_mm,target
57,real_landslide_steep_rain,27.4459,88.6193,2007-04-11,41.04,32.5,42.3,19.4,14.0,7.5,1
57_dry,real_dry_season_steep_dry,27.4459,88.6193,2006-11-12,41.04,32.5,9.7,9.3,13.7,6.1,0
57_flat,real_monsoon_flat_valley_rain,26.1445,91.7362,2007-04-11,2.1,22.0,8.9,27.0,22.6,10.5,0
93,real_landslide_steep_rain,26.7324,88.4089,2007-06-13,52.0,33.8,215.2,29.4,0.3,15.2,1
93_dry,real_dry_season_steep_dry,26.7324,88.4089,2007-01-14,52.0,33.8,0.0,0.3,0.0,0.5,0
93_flat,real_monsoon_flat_valley_rain,26.5413,88.7196,2007-06-13,1.8,23.0,241.1,49.2,0.2,13.1,0
130,real_landslide_steep_rain,26.1699,91.7986,2007-07-19,27.5,30.5,51.8,16.1,10.1,12.5,1
130_dry,real_dry_season_steep_dry,26.1699,91.7986,2007-02-19,27.5,30.5,0.6,1.0,0.3,0.0,0
130_flat,real_monsoon_flat_valley_rain,26.3212,91.0065,2007-07-19,1.7,23.5,47.7,23.8,8.4,10.5,0
94,real_landslide_steep_rain,26.8096,88.526,2007-06-15,44.32,33.1,0.3,15.2,25.7,63.4,1
94_dry,real_dry_season_steep_dry,26.8096,88.526,2007-01-16,44.32,33.1,0.0,0.5,0.0,0.0,0
94_flat,real_monsoon_flat_valley_rain,26.6528,92.7926,2007-06-15,1.9,22.5,0.3,6.5,25.8,12.4,0
126,real_landslide_steep_rain,27.1499,88.38,2007-07-16,51.39,31.1,60.3,17.4,8.6,17.3,1
126_dry,real_dry_season_steep_dry,27.1499,88.38,2007-02-16,51.39,31.1,11.8,35.0,13.0,30.8,0
126_flat,real_monsoon_flat_valley_rain,26.0207,89.9744,2007-07-16,1.5,24.0,8.6,10.1,8.8,9.8,0
78,real_landslide_steep_rain,27.3383,88.6069,2007-05-23,48.79,37.0,8.1,7.3,11.3,15.8,1
78_dry,real_dry_season_steep_dry,27.3383,88.6069,2006-12-24,48.79,37.0,0.4,3.5,7.9,4.4,0
78_flat,real_monsoon_flat_valley_rain,26.7271,88.3953,2007-05-23,2.4,21.5,13.8,33.1,19.0,2.2,0
141,real_landslide_steep_rain,25.38,91.88,2007-07-26,45.14,34.4,56.3,45.9,85.5,72.1,1
141_dry,real_dry_season_steep_dry,25.38,91.88,2007-02-26,45.14,34.4,0.0,0.0,1.4,9.6,0
141_flat,real_monsoon_flat_valley_rain,27.4728,94.912,2007-07-26,1.8,21.0,38.8,17.5,33.9,24.4,0
133,real_landslide_steep_rain,23.9304,88.2374,2007-07-21,48.07,36.0,24.0,10.5,16.9,35.9,1
133_dry,real_dry_season_steep_dry,23.9304,88.2374,2007-02-21,48.07,36.0,0.0,0.0,0.0,0.0,0
133_flat,real_monsoon_flat_valley_rain,26.3463,92.6841,2007-07-21,1.6,22.0,45.6,28.1,17.5,5.4,0
147,real_landslide_steep_rain,22.533,92.899,2007-07-30,46.07,34.3,9.0,2.2,1.3,0.8,1
147_dry,real_dry_season_steep_dry,22.533,92.899,2007-03-02,46.07,34.3,0.0,0.0,0.0,0.0,0
147_flat,real_monsoon_flat_valley_rain,26.7271,88.3953,2007-07-30,2.4,21.5,21.9,83.9,17.4,20.5,0
210,real_landslide_steep_rain,27.0713,88.4308,2007-08-25,46.71,30.8,5.1,17.0,34.2,13.1,1
210_dry,real_dry_season_steep_dry,27.0713,88.4308,2007-03-28,46.71,30.8,0.0,0.0,0.0,0.0,0
210_flat,real_monsoon_flat_valley_rain,26.0207,89.9744,2007-08-25,1.5,24.0,8.0,19.6,13.3,10.3,0
211,real_landslide_steep_rain,24.9667,93.55,2007-08-26,37.84,38.8,4.9,10.9,16.9,68.7,1
211_dry,real_dry_season_steep_dry,24.9667,93.55,2007-03-29,37.84,38.8,0.0,0.0,0.0,0.0,0
211_flat,real_monsoon_flat_valley_rain,26.3212,91.0065,2007-08-26,1.7,23.5,18.3,9.0,4.7,11.0,0
142,real_landslide_steep_rain,25.5212,90.232,2007-07-27,45.89,38.9,16.1,61.1,53.0,59.4,1
142_dry,real_dry_season_steep_dry,25.5212,90.232,2007-02-27,45.89,38.9,0.0,0.0,1.1,0.0,0
142_flat,real_monsoon_flat_valley_rain,26.1445,91.7362,2007-07-27,2.1,22.0,18.7,40.8,25.9,29.2,0
148,real_landslide_steep_rain,22.479,92.967,2007-07-30,40.9,37.6,9.0,2.2,1.3,0.8,1
148_dry,real_dry_season_steep_dry,22.479,92.967,2007-03-02,40.9,37.6,0.0,0.0,0.0,0.0,0
148_flat,real_monsoon_flat_valley_rain,26.5413,88.7196,2007-07-30,1.8,23.0,25.1,44.2,19.9,42.3,0
151,real_landslide_steep_rain,26.8905,88.2789,2007-08-02,36.76,33.5,18.8,8.8,17.0,19.0,1
151_dry,real_dry_season_steep_dry,26.8905,88.2789,2007-03-05,36.76,33.5,9.0,0.1,0.4,3.1,0
151_flat,real_monsoon_flat_valley_rain,26.6528,92.7926,2007-08-02,1.9,22.5,13.0,34.6,21.4,0.5,0
212,real_landslide_steep_rain,25.5576,91.8506,2007-08-26,30.74,38.3,11.9,9.4,4.2,10.0,1
212_dry,real_dry_season_steep_dry,25.5576,91.8506,2007-03-29,30.74,38.3,0.0,0.0,0.2,0.0,0
212_flat,real_monsoon_flat_valley_rain,26.3463,92.6841,2007-08-26,1.6,22.0,5.0,9.1,7.3,20.9,0
213,real_landslide_steep_rain,25.2946,92.8339,2007-08-26,41.46,37.9,7.0,17.9,41.1,77.9,1
213_dry,real_dry_season_steep_dry,25.2946,92.8339,2007-03-29,41.46,37.9,0.0,0.0,0.0,0.0,0
213_flat,real_monsoon_flat_valley_rain,27.4728,94.912,2007-08-26,1.8,21.0,20.7,5.2,20.0,21.2,0
215,real_landslide_steep_rain,25.7428,93.9136,2007-08-28,31.74,34.0,12.2,40.2,61.9,15.0,1
215_dry,real_dry_season_steep_dry,25.7428,93.9136,2007-03-31,31.74,34.0,0.0,0.0,0.0,0.0,0
215_flat,real_monsoon_flat_valley_rain,26.1445,91.7362,2007-08-28,2.1,22.0,2.8,12.2,21.5,5.1,0
220,real_landslide_steep_rain,25.1333,93.9667,2007-08-31,31.17,35.9,6.7,17.5,5.1,7.5,1
220_dry,real_dry_season_steep_dry,25.1333,93.9667,2007-04-03,31.17,35.9,0.0,0.0,0.0,0.0,0
220_flat,real_monsoon_flat_valley_rain,26.5413,88.7196,2007-08-31,1.8,23.0,12.6,8.7,22.5,10.4,0
218,real_landslide_steep_rain,27.0096,88.2548,2007-08-29,34.75,34.7,8.5,10.9,17.4,16.1,1
218_dry,real_dry_season_steep_dry,27.0096,88.2548,2007-04-01,34.75,34.7,0.4,2.7,2.7,3.3,0
218_flat,real_monsoon_flat_valley_rain,26.7271,88.3953,2007-08-29,2.4,21.5,14.2,11.8,5.3,11.5,0
241,real_landslide_steep_rain,27.201,88.4883,2007-09-07,41.03,32.6,34.6,44.0,81.8,121.0,1
241_dry,real_dry_season_steep_dry,27.201,88.4883,2007-04-10,41.03,32.6,2.0,6.4,5.8,1.2,0
241_flat,real_monsoon_flat_valley_rain,26.3212,91.0065,2007-09-07,1.7,23.5,22.4,21.8,53.3,46.3,0
221,real_landslide_steep_rain,22.6461,88.3403,2007-08-31,51.94,30.0,7.9,3.7,1.7,6.8,1
221_dry,real_dry_season_steep_dry,22.6461,88.3403,2007-04-03,51.94,30.0,0.0,0.0,0.0,0.0,0
221_flat,real_monsoon_flat_valley_rain,26.6528,92.7926,2007-08-31,1.9,22.5,7.5,14.3,11.8,4.6,0
231,real_landslide_steep_rain,27.06826195,88.28121204,2007-09-05,51.76,30.0,15.9,22.9,39.9,109.7,1
231_dry,real_dry_season_steep_dry,27.06826195,88.28121204,2007-04-08,51.76,30.0,1.9,1.6,6.7,3.7,0
231_flat,real_monsoon_flat_valley_rain,26.0207,89.9744,2007-09-05,1.5,24.0,4.6,4.6,13.5,23.9,0
242,real_landslide_steep_rain,26.8833,88.2833,2007-09-07,38.07,35.0,39.9,109.7,81.2,200.5,1
242_dry,real_dry_season_steep_dry,26.8833,88.2833,2007-04-10,38.07,35.0,6.7,3.7,16.2,19.8,0
242_flat,real_monsoon_flat_valley_rain,26.3463,92.6841,2007-09-07,1.6,22.0,36.3,28.7,63.8,148.4,0
247,real_landslide_steep_rain,25.0604,93.9877,2007-09-08,47.46,35.6,47.5,31.8,29.8,21.5,1
247_dry,real_dry_season_steep_dry,25.0604,93.9877,2007-04-11,47.46,35.6,4.7,11.8,17.7,12.8,0
247_flat,real_monsoon_flat_valley_rain,27.4728,94.912,2007-09-08,1.8,21.0,11.5,19.9,43.9,44.4,0
252,real_landslide_steep_rain,25.4993,94.1192,2007-09-09,37.52,33.2,29.1,18.4,48.7,26.6,1
252_dry,real_dry_season_steep_dry,25.4993,94.1192,2007-04-12,37.52,33.2,24.2,22.2,24.9,18.3,0
252_flat,real_monsoon_flat_valley_rain,26.7271,88.3953,2007-09-09,2.4,21.5,113.2,101.0,114.0,9.8,0
251,real_landslide_steep_rain,27.1667,88.35,2007-09-09,43.93,31.7,81.2,200.5,93.9,25.2,1
251_dry,real_dry_season_steep_dry,27.1667,88.35,2007-04-12,43.93,31.7,16.2,19.8,5.5,0.5,0
251_flat,real_monsoon_flat_valley_rain,26.1445,91.7362,2007-09-09,2.1,22.0,96.3,46.6,45.4,10.8,0
255,real_landslide_steep_rain,24.2451,94.0691,2007-09-10,45.97,29.2,23.7,4.0,2.1,4.1,1
255_dry,real_dry_season_steep_dry,24.2451,94.0691,2007-04-13,45.97,29.2,14.0,6.7,1.6,0.1,0
255_flat,real_monsoon_flat_valley_rain,26.5413,88.7196,2007-09-10,1.8,23.0,69.0,20.7,4.1,15.7,0
259,real_landslide_steep_rain,25.52,91.27,2007-09-11,44.58,35.6,57.9,26.8,17.3,7.9,1
259_dry,real_dry_season_steep_dry,25.52,91.27,2007-04-14,44.58,35.6,12.8,3.3,1.8,2.3,0
259_flat,real_monsoon_flat_valley_rain,26.3212,91.0065,2007-09-11,1.7,23.5,17.1,13.4,11.7,1.2,0
258,real_landslide_steep_rain,24.4279,94.0564,2007-09-11,40.47,35.8,6.2,3.0,1.9,5.0,1
258_dry,real_dry_season_steep_dry,24.4279,94.0564,2007-04-14,40.47,35.8,13.8,5.4,0.0,0.0,0
258_flat,real_monsoon_flat_valley_rain,26.0207,89.9744,2007-09-11,1.5,24.0,12.4,11.8,9.1,7.1,0
256,real_landslide_steep_rain,27.3425,88.6236,2007-09-10,43.22,31.5,117.8,60.1,78.5,26.5,1
256_dry,real_dry_season_steep_dry,27.3425,88.6236,2007-04-13,43.22,31.5,3.5,4.1,3.2,5.5,0
256_flat,real_monsoon_flat_valley_rain,26.6528,92.7926,2007-09-10,1.9,22.5,100.8,29.9,47.6,10.8,0
260,real_landslide_steep_rain,27.2084,88.4909,2007-09-11,48.61,31.4,106.0,44.0,18.8,7.7,1
260_dry,real_dry_season_steep_dry,27.2084,88.4909,2007-04-14,48.61,31.4,1.6,0.3,1.3,0.7,0
260_flat,real_monsoon_flat_valley_rain,26.3463,92.6841,2007-09-11,1.6,22.0,62.3,20.6,7.1,2.6,0
264,real_landslide_steep_rain,26.1833,91.8,2007-09-13,35.11,33.3,5.4,1.6,3.6,6.7,1
264_dry,real_dry_season_steep_dry,26.1833,91.8,2007-04-16,35.11,33.3,0.0,0.0,0.0,0.3,0
264_flat,real_monsoon_flat_valley_rain,27.4728,94.912,2007-09-13,1.8,21.0,2.0,2.9,19.0,12.8,0
274,real_landslide_steep_rain,27.0875,88.4572,2007-09-20,48.35,36.1,3.5,3.0,0.0,0.0,1
274_dry,real_dry_season_steep_dry,27.0875,88.4572,2007-04-23,48.35,36.1,3.5,16.5,6.6,3.4,0
274_flat,real_monsoon_flat_valley_rain,26.7271,88.3953,2007-09-20,2.4,21.5,0.0,0.4,0.0,0.0,0
313,real_landslide_steep_rain,25.7055,94.0132,2007-10-16,32.77,35.6,15.1,11.2,26.0,26.3,1
313_dry,real_dry_season_steep_dry,25.7055,94.0132,2007-05-19,32.77,35.6,3.3,6.3,21.4,19.1,0
313_flat,real_monsoon_flat_valley_rain,26.6528,92.7926,2007-10-16,1.9,22.5,0.4,2.9,11.3,48.4,0
269,real_landslide_steep_rain,27.2872,88.2816,2007-09-18,51.61,35.4,3.6,12.6,3.5,3.0,1
269_dry,real_dry_season_steep_dry,27.2872,88.2816,2007-04-21,51.61,35.4,0.6,0.6,3.5,16.5,0
269_flat,real_monsoon_flat_valley_rain,26.1445,91.7362,2007-09-18,2.1,22.0,25.3,10.5,0.9,2.2,0
285,real_landslide_steep_rain,24.1293,92.6921,2007-09-29,40.83,33.9,2.1,10.6,5.5,16.7,1
285_dry,real_dry_season_steep_dry,24.1293,92.6921,2007-05-02,40.83,33.9,0.0,0.0,0.0,0.0,0
285_flat,real_monsoon_flat_valley_rain,26.5413,88.7196,2007-09-29,1.8,23.0,0.0,24.1,15.8,9.0,0
319,real_landslide_steep_rain,25.4379,94.1162,2007-10-19,39.78,31.4,23.3,11.9,4.9,16.2,1
319_dry,real_dry_season_steep_dry,25.4379,94.1162,2007-05-22,39.78,31.4,18.4,17.2,21.5,16.6,0
319_flat,real_monsoon_flat_valley_rain,26.0207,89.9744,2007-10-19,1.5,24.0,8.0,0.4,3.4,8.4,0
322,real_landslide_steep_rain,24.75,93.4333,2007-10-21,30.17,33.4,1.2,5.2,10.8,1.4,1
322_dry,real_dry_season_steep_dry,24.75,93.4333,2007-05-24,30.17,33.4,18.9,14.2,28.5,4.1,0
322_flat,real_monsoon_flat_valley_rain,26.3212,91.0065,2007-10-21,1.7,23.5,2.1,1.3,0.4,2.0,0
545,real_landslide_steep_rain,24.9849,92.8411,2008-05-20,39.45,36.4,2.6,19.9,26.1,18.9,1
545_dry,real_dry_season_steep_dry,24.9849,92.8411,2007-12-22,39.45,36.4,0.0,0.0,0.0,0.0,0
545_flat,real_monsoon_flat_valley_rain,26.3463,92.6841,2008-05-20,1.6,22.0,15.0,26.4,10.8,4.4,0
580,real_landslide_steep_rain,24.6596,93.9784,2008-06-09,39.96,31.8,16.8,7.4,15.0,8.6,1
580_dry,real_dry_season_steep_dry,24.6596,93.9784,2008-01-11,39.96,31.8,0.0,0.0,0.0,0.0,0
580_flat,real_monsoon_flat_valley_rain,27.4728,94.912,2008-06-09,1.8,21.0,8.6,1.8,2.6,7.2,0
587,real_landslide_steep_rain,27.2298,94.0989,2008-06-15,51.58,31.9,16.4,29.6,40.2,1.8,1
587_dry,real_dry_season_steep_dry,27.2298,94.0989,2008-01-17,51.58,31.9,4.6,2.1,0.0,0.0,0
587_flat,real_monsoon_flat_valley_rain,26.7271,88.3953,2008-06-15,2.4,21.5,17.6,17.0,65.8,4.9,0
585,real_landslide_steep_rain,27.0998,93.6287,2008-06-14,51.36,28.3,17.8,9.9,15.9,22.8,1
585_dry,real_dry_season_steep_dry,27.0998,93.6287,2008-01-16,51.36,28.3,0.2,0.9,1.1,0.0,0
585_flat,real_monsoon_flat_valley_rain,26.1445,91.7362,2008-06-14,2.1,22.0,51.2,20.2,19.6,19.4,0
614,real_landslide_steep_rain,26.89,88.28,2008-06-29,38.08,30.0,13.7,29.8,13.4,14.6,1
614_dry,real_dry_season_steep_dry,26.89,88.28,2008-01-31,38.08,30.0,0.0,1.8,4.8,3.8,0
614_flat,real_monsoon_flat_valley_rain,26.0207,89.9744,2008-06-29,1.5,24.0,14.7,20.7,29.6,79.7,0
594,real_landslide_steep_rain,24.9336,93.8275,2008-06-19,46.98,31.0,3.8,17.6,6.9,15.6,1
594_dry,real_dry_season_steep_dry,24.9336,93.8275,2008-01-21,46.98,31.0,0.0,0.0,0.1,0.0,0
594_flat,real_monsoon_flat_valley_rain,26.5413,88.7196,2008-06-19,1.8,23.0,8.3,3.3,16.8,52.5,0
595,real_landslide_steep_rain,26.885,88.2778,2008-06-20,37.21,35.2,15.0,35.7,48.6,17.3,1
595_dry,real_dry_season_steep_dry,26.885,88.2778,2008-01-22,37.21,35.2,9.0,0.3,0.0,0.0,0
595_flat,real_monsoon_flat_valley_rain,26.6528,92.7926,2008-06-20,1.9,22.5,10.5,28.0,21.7,7.1,0
692,real_landslide_steep_rain,25.705,94.04,2008-08-07,32.03,31.3,20.4,9.8,33.8,10.0,1
692_dry,real_dry_season_steep_dry,25.705,94.04,2008-03-10,32.03,31.3,1.3,7.3,0.2,0.0,0
692_flat,real_monsoon_flat_valley_rain,26.3463,92.6841,2008-08-07,1.6,22.0,41.0,10.5,13.9,7.5,0
620,real_landslide_steep_rain,27.0771,88.482,2008-06-30,46.84,30.5,57.5,14.3,11.2,16.5,1
620_dry,real_dry_season_steep_dry,27.0771,88.482,2008-02-01,46.84,30.5,4.4,7.4,18.7,5.8,0
