source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,id,event_date_formatted,elevation,slope,aspect,clay_percent,sand_percent,silt_percent,bulk_density
WebIndia123.com,http://news.webindia123.com/news/ar_showdetails.asp?id=704100915&cat=&n_date=20070410,57,04/11/2007 12:00:00 AM,,"Sikkim, 13 km north of Gangtok","1000 tourists stranded, more than 180 vehicles stranded, 150 m stretch of road was covered, occurred at 2:00 local time","Sikkim, 13 km north of Gangtok",5km,landslide,downpour,medium,unknown,,,,,,glc,57.0,India,IN,,1464.0,Mangan,11.92749,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.6193,27.4459,57,2007-04-11,1707.6,41.04,83.4,32.5,29.3,38.2,1.25
Sikkim times.com,http://www.thestatesman.net/page.arcview.php?clid=10&id=184730&usrsess=1,78,05/23/2007 12:00:00 AM,,"Pangthang, on road b/t Gangtok and North Sikkim",along highway,"Pangthang, on road b/t Gangtok and North Sikkim",50km,landslide,rain,medium,unknown,,,,,,glc,78.0,India,IN,Sikkim,30700.0,Gangtok,1.48585,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.6069,27.3383,78,2007-05-23,2602.9,48.79,67.6,37.0,19.2,43.8,1.25
Liveleak.com,http://www.liveleak.com/view?i=6f2_1188615914&c=1,93,06/13/2007 12:00:00 AM,,"Indira Bypass, Amdo Golai","on-duty policeman injured, road blocked by rocks causing closure","Indira Bypass, Amdo Golai",25km,landslide,rain,small,unknown,,,,,,glc,93.0,India,IN,Bengal,515574.0,Shiliguri,3.15411,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.4089,26.7324,93,2007-06-13,1957.0,52.0,161.0,33.8,26.5,39.7,1.25
Kalimpong.info,http://www.kalimpong.info/2007/06/15/landslide-hits-highway-raging-river-threatens-to-wreak-havoc/,94,06/15/2007 12:00:00 AM,,National Highway 31A at Sevoke,stranded traffic for hours,National Highway 31A at Sevoke,25km,landslide,rain,medium,unknown,,,,,,glc,94.0,India,IN,Bengal,12311.0,Odlābāri,10.70327,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.526,26.8096,94,2007-06-15,1822.3,44.32,14.0,33.1,28.0,38.9,1.25
thestatesman.net,http://www.thestatesman.net/page.news.php?clid=10&theme=&usrsess=1&id=162949,126,07/16/2007 12:00:00 AM,,Bardang near Singtam,closest to predicted location of Gauhati (336.70 km),Bardang near Singtam,25km,mudslide,rain,medium,unknown,,,,,,glc,126.0,India,IN,Sikkim,1147.0,Namchi,2.01104,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.38,27.1499,126,2007-07-16,1421.0,51.39,257.0,31.1,32.5,36.4,1.25
Saharas Samay,http://www.saharasamay.com/samayhtml/articles.aspx?newsid=80536,130,07/19/2007 12:00:00 AM,,Guwahati,closest to predicted location of Gauhati (167.34 km),Guwahati,25km,landslide,rain,medium,unknown,6.0,,,,,glc,130.0,India,IN,Assam,2000.0,Dispur,3.80164,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.7986,26.1699,130,2007-07-19,559.6,27.5,290.4,30.5,33.8,35.7,1.25
Zeenews.com,,133,07/21/2007 12:00:00 AM,,Beldanga,closest to predicted location of Kalingapatam (760.60 km),Beldanga,50km,landslide,rain,medium,unknown,1.0,,,,,glc,133.0,India,IN,Bengal,27489.0,Beldānga,2.35894,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.2374,23.9304,133,2007-07-21,2408.2,48.07,351.2,36.0,21.4,42.6,1.25
thestatesman.net,http://www.thestatesman.net/page.news.php?clid=10&theme=&usrsess=1&id=164069,141,07/26/2007 12:00:00 AM,,Singtam,closest to predicted location of Shillong (397.72 km),Singtam,50km,landslide,rain,medium,unknown,,,,,,glc,141.0,India,IN,Meghālaya,11090.0,Cherrapunji,19.36242,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.88,25.38,141,2007-07-26,805.2,45.14,289.8,34.4,30.1,35.5,1.25
Telegraph India,http://telegraphindia.com/1070728/asp/frontpage/story_8116912.asp,142,07/27/2007 12:00:00 AM,,Tura,closest to predicated location of Shillong (138.89 km),Tura,10km,rock_fall,rain,large,unknown,8.0,,,,,glc,142.0,India,IN,Meghālaya,63645.0,Tura,0.94369,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,90.232,25.5212,142,2007-07-27,1428.9,45.89,130.2,38.9,19.9,41.2,1.25
Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987,147,07/30/2007 12:00:00 AM,,Lawngtlai,road networks disrupted,Lawngtlai,25km,landslide,downpour,medium,unknown,,,,,,glc,147.0,India,IN,Mizoram,22654.0,Saiha,9.62825,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.899,22.533,147,2007-07-30,1482.5,46.07,126.9,34.3,25.5,40.3,1.25
